[2024-03-01 08:30:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-01 08:45:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-01 09:00:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-01 14:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-02 08:30:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-02 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-02 10:15:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-02 23:30:22] ACCES_LABO | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-03 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-03 08:30:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-03 09:15:00] ACCES_LABO | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-03 14:30:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-04 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-04 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-04 10:30:00] ACCES_LABO | Utilisateur: FRAISER | Badge: SGC-0100 | Periode: JOUR
[2024-03-05 01:45:18] ACCES_LABO | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-05 08:30:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-05 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-05 09:30:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-06 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-06 08:30:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-06 14:00:00] ACCES_LABO | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-07 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-07 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-07 10:00:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-08 08:30:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-08 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-08 14:00:00] ACCES_LABO | Utilisateur: FRAISER | Badge: SGC-0100 | Periode: JOUR
[2024-03-09 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-09 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-10 00:55:33] ACCES_LABO | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-10 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-10 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-10 10:00:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-11 08:30:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-11 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-12 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-12 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-12 14:00:00] ACCES_LABO | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-13 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-13 09:00:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-14 08:30:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-14 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-15 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-15 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-16 10:00:00] ACCES_LABO | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-17 08:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-17 09:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-18 08:30:00] ACCES_LABO | Utilisateur: FELGER | Badge: SGC-0301 | Periode: JOUR
[2024-03-19 02:55:11] ACCES_LABO | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-19 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-19 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
[2024-03-20 08:00:00] ACCES_LABO | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-20 09:00:00] ACCES_LABO | Utilisateur: LEE | Badge: SGC-0300 | Periode: JOUR
