[2024-03-01 08:15:33] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-01 09:22:17] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-01 09:23:45] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-01 09:24:02] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-01 10:30:00] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-01 10:31:15] ACCES_PORTE | Utilisateur: PIERCE | Badge: SGC-0011 | Periode: JOUR
[2024-03-01 14:05:22] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-01 22:45:12] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-02 07:50:00] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-02 08:00:15] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-02 08:12:33] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-02 09:45:00] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-02 10:15:22] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
[2024-03-02 11:30:00] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-02 14:22:10] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-02 23:15:47] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-03 08:30:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-03 08:45:22] ACCES_PORTE | Utilisateur: MITCHELL | Badge: SGC-0005 | Periode: JOUR
[2024-03-03 09:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-03 09:30:45] ACCES_PORTE | Utilisateur: GRIFF | Badge: SGC-0010 | Periode: JOUR
[2024-03-03 10:00:00] ACCES_PORTE | Utilisateur: FERRETTI | Badge: SGC-0050 | Periode: JOUR
[2024-03-03 11:15:33] ACCES_PORTE | Utilisateur: BOSCO | Badge: SGC-0043 | Periode: JOUR
[2024-03-03 13:45:00] ACCES_PORTE | Utilisateur: JOHNSON | Badge: SGC-0044 | Periode: JOUR
[2024-03-03 15:20:00] ACCES_PORTE | Utilisateur: DAVIS | Badge: SGC-0400 | Periode: JOUR
[2024-03-04 07:55:12] ACCES_PORTE | Utilisateur: HARRIMAN | Badge: SGC-0200 | Periode: JOUR
[2024-03-04 08:10:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-04 08:30:00] ACCES_PORTE | Utilisateur: TEALC | Badge: SGC-0004 | Periode: JOUR
[2024-03-04 09:15:44] ACCES_PORTE | Utilisateur: JACKSON | Badge: SGC-0003 | Periode: JOUR
[2024-03-04 10:00:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-04 10:45:33] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: JOUR
[2024-03-04 14:30:00] ACCES_PORTE | Utilisateur: PIERCE | Badge: SGC-0011 | Periode: JOUR
[2024-03-04 16:00:00] ACCES_PORTE | Utilisateur: WARREN | Badge: SGC-0012 | Periode: JOUR
[2024-03-05 01:30:22] ACCES_PORTE | Utilisateur: MAKEPEACE | Badge: SGC-0042 | Periode: NUIT
[2024-03-05 08:00:00] ACCES_PORTE | Utilisateur: ONEILL | Badge: SGC-0001 | Periode: JOUR
[2024-03-05 08:15:00] ACCES_PORTE | Utilisateur: CARTER | Badge: SGC-0002 | Periode: JOUR
[2024-03-05 09:00:00] ACCES_PORTE | Utilisateur: REYNOLDS | Badge: SGC-0060 | Periode: JOUR
